,Subset,Evaluation,EX
0,BI,RESDSQL_LARGE,24.14
1,Join,RESDSQL_LARGE,67.4
2,Overall,RESDSQL_LARGE,80.08
3,Subquery,RESDSQL_LARGE,57.83
