,Subset,Evaluation,EX
0,BI,RESDSQL_3B_NATSQL,3.45
1,Join,RESDSQL_3B_NATSQL,76.72
2,Overall,RESDSQL_3B_NATSQL,84.14
3,Subquery,RESDSQL_3B_NATSQL,49.4
