,Subset,Evaluation,EX
0,BI,RESDSQL_BASE_NATSQL,20.69
1,Join,RESDSQL_BASE_NATSQL,70.34
2,Overall,RESDSQL_BASE_NATSQL,80.17
3,Subquery,RESDSQL_BASE_NATSQL,50.6
