,Subset,Evaluation,EX
0,BI,RESDSQL_LARGE_NATSQL,0.0
1,Join,RESDSQL_LARGE_NATSQL,71.32
2,Overall,RESDSQL_LARGE_NATSQL,82.01
3,Subquery,RESDSQL_LARGE_NATSQL,46.99
