,Subset,Evaluation,EX
0,BI,C3_SQL,41.38
1,BI,DAIL_SQL,48.28
2,BI,DAIL_SQL_SC,
3,BI,DINSQL,68.97
4,BI,SuperSQL,51.72
5,Join,C3_SQL,73.28
6,Join,DAIL_SQL,72.79
7,Join,DAIL_SQL_SC,
8,Join,DINSQL,75.74
9,Join,SuperSQL,80.64
10,Overall,C3_SQL,82.01
11,Overall,DAIL_SQL,83.08
12,Overall,DAIL_SQL_SC,
13,Overall,DINSQL,82.79
14,Overall,SuperSQL,87.04
15,Subquery,C3_SQL,68.67
16,Subquery,DAIL_SQL,74.7
17,Subquery,DAIL_SQL_SC,
18,Subquery,DINSQL,81.93
19,Subquery,SuperSQL,69.88
